"Label","Tweet"
"stay","100% in the EU: Diary of an EU citizen in the UK (5) https://t.co/tkalC8yXtE #euref #bhameu"
"leave","@davesdodgydad @morsild @MarkInNorthWest this is preparation for a #StrongerIn win narrative that says the #EUref wasn't fair 🙄"
"leave","@David_Cameron David It is not April fools day!, It would have been so easy to get my vote# @vote_leave https://t.co/y8C9meQgP5"
"leave","@LeaveEUOfficial https://t.co/hHdz2phKZw"
"stay","Lol. Give it a rest boff https://t.co/UL2HEmDCQD"
"stay","#BREXIT campaign is solely focused on borders + British pride #Stay campaign might not be positive but at least it's not colonialism #BBCQT"
"stay","Brexit would cost UK households £2,200 by 2020, says OECD | Politics | The Guardian https://t.co/ytGPpjNaoS"
"leave","And he used to be \""out\"" until his business was captured by the EU regulatory system. #stockholmsyndrome @vote_leave  https://t.co/gs95FX6oDN"
"leave","Worth 3 minutes..#LeaveEU #Brexit https://t.co/ym0ScRtqva"
"stay","@AntiqueMag Brexit would be bad for the trade- border controls, potential tariffs, art market shift to Europe perhaps"
"leave","@Arron_banks @StrongerInPress @vote_leave You can count the number of months before Turks have visa free access to the UK, post June 23!"
"stay","The Remain camp's PR team can now go home, your work is complete - EU referendum: Donald Trump backs Brexit https://t.co/x10ieq4a69"
"leave","Donald Trump backs Brexit, saying UK would be 'better off' without EU https://t.co/4sXHzXDHwt"
"leave","@truclear are going to vote to be raped on a bus or do your prefer Brexit"
"leave","@DavidJo52951945 @stephencaunt from 2009 to 2014 UK MEPs were unable to block 84% of laws they opposed by a majority #voteleave"
"leave","Almost zero MSM coverage - suppressed by the #VoteLeave 'decision' - still #UKIP come out fighting and winning. Well done !"
"stay","Lobbyists at it again https://t.co/4hBRlfbI5v"
"leave","@StrongerIn don't forget Putin. A man really on our side :-)"
"leave","Mike Betts: Remove #DavidCameron and #IainDuncanSmith as #PatronsofMotability - Sign the Petition! https://t.co/iEsqq80Vds via @UKChange"
"stay","Shinzo Abe: Japan's PM says Brexit would make UK less attractive for Japanese investors https://t.co/EJ20G30bPq https://t.co/hOStNrplBM"
"leave","Future US president backs brexit. Go Donald go you are just what the world needs #Trump2016  #Brexit  https://t.co/B4fCL1BjjQ"
"leave","@BBCNewsnight good advertisement for #Brexit @GetBritainOut @Greens4GO @vote_leave @LeaveEUOfficial Britain NOT @StrongerIn"
"leave","#VoteLeave https://t.co/MUJHnwQQ0h"
"leave","@charmayne11 opinion polls are slowly going brexit way by time 23rd of June we should win"
"stay","We need facts ..... https://t.co/2J4BpVB0io"
"leave","https://t.co/O18HPmPFij yet another 100 or so reasons to leave @BrexitWatch #LeaveEU"
"stay","@viking_tiger @nanette0803 @certual @LeaveEUOfficial if the people vote in: that's not democracy?"
"stay","All it takes 4 politburo bureaucrats to succeed is for sheep to be sheep\n#StrongerIn\n#StrongerIN\n#LabourInForBritain https://t.co/mjybYXa5Xd"
"stay","#Brexit  ‘by far’ biggest issue for #Irish  business, says Ibec chief (via @IrishTimes) https://t.co/Vv6U0r6Ed4"
"leave","\""Left Leave\"" #Brexit campaign: Apologists for nationalism and defenders of capitalism https://t.co/BfZlFck7SA\n#EUreferendum"
"leave","Spread the Word https://t.co/vTWUiNuBX1 #voteleave via @vote_leave"
"leave","Do you live in or near #Redruth? Want out of the EU. JOin our @LeaveEUOfficial group and take action. We need feet on the ground and fast"
"stay","A risible case for Brexit based on dubious data: https://t.co/ZYcLuz55ek #FT"
"leave","mad Merkel EU run down by Islam for Lobby industry - EU referendum: Donald Trump backs Brexit https://t.co/8ZZmJVkAsz"
"leave","Should we expect anything else! Begin to this Cameron is the supreme chancellor! #starwars #VoteLeave https://t.co/8NsMvJlDjb"
"stay","We can make Britain great again and build a wall and make the EU pay. All our problems will be miraculously solved https://t.co/30wzjde9F6"
"leave","Donald Trump backs Brexit - The Commentator https://t.co/JfU9UwZU9d"
"leave","@zoesqwilliams I'm voting for democracy, internationalism and the global south, and think an EU-based crisis extremely likely. #Brexit"
"leave","Donald Trump backs Brexit, saying UK would be 'better off' without EU https://t.co/5FvJQlYOvx   NICE ONE X"
"leave","@StrongerIn Article states \""The UK imports more than half of its gas from Europe, mostly from Norway\"". Norway are not in the EU"
"stay","@nicholasjf1 @iVoteStay Economic studies show devastating effect of Brexit on UK economy. Ordinary people will bear brunt #StrongerIn"
"stay","It's wishful thinking to think a Brexit would bring about more prosperity. Membership of EU has helped and not hindered UK living standards."
"leave","S'gonna be great - Trump as #POTUS \u0026amp; Boris as PM. #SuchFun https://t.co/6yv48fAcUO"
"stay","This is a man who stab at the back.....if not careful  https://t.co/jCIsGENRUN"
"leave","Excellent! Courtesy of #BrexitMK https://t.co/l5XyDWdA2S @vote_leave"
"leave","EU: New refugee quotas in EU! Nations will have to pay £200.000 per refugee they refuse. That is blackmail! #LeaveEU https://t.co/ydHVOpnt0r"
"leave","I have just heard rave reviews about @JacobReesMogg #Brexit talk @warwickuni tonight  https://t.co/Z5OH825bmo"
"leave","#Remain #RemainInEU @StrongerIn time to #TakeControl time to #VoteLeave and #Brexit https://t.co/bsb6syCAql"
"leave","@AndrewDuffEU @policynetwork\nI've been thinking about the immediate response to a vote for Brexit:\nhttps://t.co/grFklF9oRD"
"stay","YEAH TEAM BREXIT. https://t.co/QkyPUh4nnT"
"leave","Donald Trump backs Brexit, saying UK would be 'better off' without EU https://t.co/RVMbvxwBrG"
"stay","No Sign of #Brexit In The Air After #LocalElections https://t.co/uCFGBnj7J7 @RobDotHutton @AlexJFMorales @business https://t.co/ZFv0FU02iL"
"leave","We don’t need trade deals to boom after Brexit via @thetimes https://t.co/GcNIBZn7Vz"
"stay","@TonyParsonsUK @LeaveEUOfficial well the UK Public has never been consulted on being sold out"
"stay","Most read on alva this week: Free special report on #Brexit and how companies can best explain the case to remain\nhttps://t.co/HwJ2EgiiCB"
"stay","@Brexpats I think @con4lib means \""scrap all employment/equality/environmental rules\"". That's what @EconForBrexit post Brexit model built on."
"stay","Bit worrying for Brexiters to be on the same side as Donald Trump and Marine Le Pen. https://t.co/ktmfmhx4GQ"
"leave","@JTGCharalambous @SaveTrentPark Well done Jason you are still fighting to preserve our local English heritage.Hope you are supporting Brexit"
"stay","Brexit 'may trigger the collapse of fragile EU':\nhttps://t.co/T0YItnSZK8 via @MailOnline"
"leave","Jewish Eurosceptics! I'll be debating #Brexit before the @BoardofDeputies next week. Come along! https://t.co/rCswo2pYW8"
"stay",". @CityforEu @TelegraphNews I don't see any brexiteers telling him to keep his nose out of UK affiairs! #brexit #hypocrisy"
"leave","@SkyNews It's funny how all these world leaders are speaking out against #Brexit whilst holding hands with Cameron."
"leave","@jamesoxby I agree James Brexit will be the catalyst for EU break up which is what most of the EU population want!! Freedom from EU tyranny"
"leave","@55Massey I've read so many tweets of people thinking by voting tory they are somehow wanting to stay in the EU, it's just not true #Brexit"
"leave","Safer In #EU? No! No! No! Terrorists want the UK to STAY https://t.co/qLfOz2py9l Remember 7/7 Paris #Brussels #EUreferendum #remain #brexit"
"leave","Royal Navy fires warning shot at Spanish boat 'hassling' US sub  These are our friends ??????#EU #Brexit\n\nhttps://t.co/Q5aFIOEQFq"
"leave","Right, suppose I'd better go vote. Stage 1 of getting Cameron and the rest of the Tory/Remain tosspots out of office. #VoteUKIP #VoteLeave"
"leave","@Grassroots_Out @vote_leave @BrexitNoww @IrishRepubIic @theirishpost @TaxLandNotMan @BasicIncomeOrg @basicincome https://t.co/WRhCxdi5Bg"
"stay","For all those who think that housing and construction are immune to the consequences of Brexit. https://t.co/unq5Fb3sfQ"
"stay","Why is the Brexit camp so obsessed with immigration? Because that’s all they have\n\nhttps://t.co/1ld4AtTQ8C"
"leave","Rational Brexiteer @WhiteWednesday argues for rational post-Brexit strategy on EEA/immigration.Plausible? You judge https://t.co/gp2w5QCbwn"
"leave","Aye. The Soviet Union was ultimately doomed to failure. Its European counterpart will go the same way #VoteLeave  https://t.co/giCOTCtHsF"
"leave","@David_Cameron's gov't on third u-turn, academies, junior doctors and child refugees.  Public #VPissedOff #Brexit https://t.co/gUM26jmVgf"
"leave","@regular_tea Exactly. I'll be voting #Conservative tomorrow but don't mind if you vote #UKIP instead. All good for #Brexit!(most imporrtant)"
"stay","#Liverpool have broke the #Spanish dominance in Europe... #English #football says Yes We Belong in #Europe!\n\n#Brexit #EuropeanUnion"
"stay","@LeaveEUOfficial @ExittheEU but leaving UK in hands of right wing Tories would see that all go to the 1%......."
"leave","#OUT https://t.co/ciSXZDXKpz"
"stay","Brexit threatens to derail UK’s fintech growth https://t.co/C50SPNAeoL via @growvc"
"leave","@StrongerIn Another load of bollocks"
"leave","Wtf? https://t.co/xf0NAPoJ4b"
"leave","@Scientists4EU which amounts to approx 3% of R\u0026amp;D funding. Scientific funding not strong argument to remain https://t.co/HooDvttawA"
"leave","Brexit: We Have Nothing To Lose Except Our Chains! https://t.co/2YZkkobx9a  RT #NationalLiberalParty #NLP #Eureferendum  #VoteLeave #Brexit"
"stay","You just couldn't get a nicer bunch of people.... https://t.co/Illrf0P8Cb"
"leave","Most EU migrants in UK 'would not get a work visa after Brexit' #EUref #Brexit #EUref https://t.co/h2RRE89PyD via @MailOnline"
"leave","I love it: \""If Britain is not big enough to compete on the world stage, who the bloody hell is?\"" Watch here: https://t.co/MVoYgWOBYr #Brexit"
"leave","Again Lies #Remain #RemainInEU @StrongerIn time to #TakeControl time to #VoteLeave and #Brexit https://t.co/TriBCl2g5x"
"leave","@RJohnDickinson @vote_leave @CarolineLucas \nYour opinion is that UK led on animal welfare so who needs the EU?\n@lawyers4animals \n#euref"
"leave","Brexit: The (animated) Movie https://t.co/HkvT8q55TP"
"stay","And vote for the uk nazi party https://t.co/gvdDrY1ZYU"
"leave","@NwoReport @Darkstargoddess We'll, dat union shd fynaly alow Brexit 2 work😂"
"stay","Pollution warnings as air blown in from continent. Shows we need EU-wide action to improve air quality #INtogether\nhttps://t.co/d9cFmFqgNO"
"leave","@Telegraph @Swindonjack Forgot after BREXIT Cameron will be long gone anyway!!"
"leave","Do the Unions want to stay in the EU or what? Looks like staying in \u0026amp; see more members on the dole. USA Assist strip https://t.co/Ya9MUwCui3"
"stay","@RupertStiglitz @lasancmt so why r so many brexit arguments \u0026amp; supporters built around little Englanders chauvinism?"
"leave","No words to add. Just a wish to regain our #sovereignty \u0026amp; #voteleave to #takecontrol \u0026amp; #brexit following #EUref https://t.co/Hbb036KM9B"
"stay","FT's @ChrisGiles_ pulls no punches on idea UK would get better trade deals outside EU: \""risible case for Brexit\""  https://t.co/OhCUyenC6I"
"leave","@StrongerInPress  Best for whom? https://t.co/CeLOq88paO"
"leave","My daughter loves this - as if she ever listens to her Dad!!!! https://t.co/abbJC5CrBm"
"leave","#securetheborder vote #Brexit #refugeesnotwelcome #IslamIsTheProblem  https://t.co/vxmlXWWjSX"
"stay","Oh well there goes Brexit credability! BBC News - EU referendum: Donald Trump backs Brexit https://t.co/Ny6ugSw7At"
"leave","@antibessteve @StrongerIn UK workers wont take low paid jobs benefits give them more."
"leave","Dictator furher timmermans has commanded, heil herr timmermans! https://t.co/vMkc8TqdYV"
"stay","So @realDonaldTrump backs Brexit? Guess what Donald? Nobody here gives a fuck what you think #StrongerIn #VoteRemain"
"leave","@David_Cameron aren't you listening WE DON'T WANT THESE PEOPLE IN UK #VoteLeave @vote_leave @NoThanksEU @leavehq https://t.co/wNmrFqQNFW"
"leave","@Nigel_Farage That's how Dodgy Dave will feel on June 24th. #Brexit #VoteLeave"
"leave","Forgotten something Mr Cameron? PM in U-turn after backing Turkey to join the EU https://t.co/mBlD4poMlN #DavidCameron"
"leave","How can anyone allow these corrupt and pampered men to rule us? #Brexit #VoteLeave #EUreferendum  https://t.co/EXUkAv5zvI"
"leave","So Trump joins the Brexit camp? Along with Boris, Farage, Galloway, IDS, Gove, Marie Le Pen. Quite a bunch!"
"leave","@StrongerIn just because it suits THEM for us to stay in, does not mean its in OUR interests to stay !"
"leave","Today EU Commission will issue more directives to EU member states who have to comply! Will you? #Brexit https://t.co/W18ypxDhv6"
"leave","TTIP in Obama`s words (ha, BACK OF QUEUE).We don`t want US rule, EU rule is bad enough. Future better in UK.#Brexit https://t.co/KlMR8brtxM"
"leave","David Cameron has insisted that Turkey will not join the European Union 'for decades'\nLIAR!! #Brexit \nhttps://t.co/YFwToEakrK"
"leave","Brits need to say very clearly on the 23rd June we are sick of being used by non Brits Vote Out  https://t.co/jVk9V6oioX"
"leave","Discover the wealth of opportunity outside the EU if you #VoteLeave https://t.co/ZjmoSA8nt6 https://t.co/co5xC9531V"
"leave","#Jihadi centres at the ready! \n#Erdogan has given the 'special' orders that's cost the #EU an extra €3bn \n#Brexit https://t.co/qM0r57ohz8"
"stay","#Brexit and now anti-biz Khan is why #London \u0026amp; #England will lose more than they bargained for: economy, jobs, national unity. Just watch!"
"stay","This https://t.co/CJlqpGhO3v"
"leave","If Blair says stay then I'm definitely voting out! #lyingbastard   https://t.co/zIjwi4PS58"
"leave","..... and so it starts! #Brexit https://t.co/72I321Nl8T"
"leave","Brexit in June ? https://t.co/FuYOpmeXhk"
"leave","Nothing more than an insult to the British people's intelligence!!.... https://t.co/ahybPKsV97"
"stay","Well that's officially the best reason I've heard so far to vote \""in\""! EU referendum: Donald Trump backs Brexit https://t.co/I5FtGwi0Ne"
"leave","@LeaveEUOfficial @CityAM Yes. Another example of EU meddling in areas which are none of its business. Subsidiarity an illusion. Vote LEAVE"
"leave","@RosieWyatt @Olgachristie THEN TAKE THE TIME \u0026amp;DO SOMETHING!{It's\""PRICE of FREEDOM\""?}-WHAT IF this\""practice\""for \""BREXIT VOTE?=U'll be SCREWED"
"leave","#bbcqt: this guy intelligent: knows about #politiciansRcriminals forcing #TTIP through #EU. So #Brexit from #EUref. #NigelLawson Honest Now"
"leave","Rent continues to rise in almost every part of the UK - time to leave the EU\n\nhttps://t.co/RprsiFarwi\n\n#Brexit #VoteLeave"
"leave","Nigel Lawson putting some real good points across re #Brexit #bbcqt"
"leave","Britain's global engagement is restrained by the EU \""common position\"" https://t.co/JAWgctVLiZ #EURef #VoteLeave"
"leave","It's Obvious what the Media is Trying to do to anyone who wants to make an informed choice on #euref #leave #remain https://t.co/95C2Vg8LTq"
"stay","@iainmartin1 @JeremyWarnerUK Sure. How much lost business from the City do you think would be a reasonable cost of Brexit, Iain?"
"leave","@VoteLeaveSW Cameron has played the Brexit crew like the bunch of amateurs they are, sadly.\nTime to get wise to him and what's coming."
"leave","Will they kowtow or show some leadership? https://t.co/3qhh9K6rD5"
"stay","Anecdotal evidence of #Brexit's impact on the UK economy is starting to become a lot less anecdotal pre-referendum: https://t.co/iLrgAv8GuX"
"leave","TRUMP SUPPORTS BREXIT !!!!"
"leave",".@Swift_star101 @vote_leave Yes. 1. We pay our fair share. 2. Benefits in exports and investment are 10x the cost. https://t.co/dl79xoiTcX"
"stay","When both The Sun and Donald Trump back #brexit , you know there's only one logical choice, to remain https://t.co/lYQoR6p6v8"
"leave","A good question. https://t.co/QbifH6lTJt"
"stay","The racist idiots voting ukip. Why? What purpose will the serve after the #EUreferendum? Absolutely nothing. Kippers really are dense"
"leave","#VoteLeave to ensure our future is bright! #Brexit https://t.co/1CHLQku8LC"
"leave","More Bullshit from Mr. Cameron. https://t.co/wz29NUOGPN Hopefully people see this arrogant, cocky c**t for the twat he really is. #Brexit"
"leave","@jasperhutchings @Arron_banks @Coeurdelion87 Those two combined to shaft Europe once before in WW1. Brexit before we're kebabed."
"leave","I liked a @YouTube video from @piffletv https://t.co/7cyfyS7IK2 Brexit: The (animated) Movie"
"stay","So Trump's backing Brexit. Presume those Brexiters who got their knickers in a twist over Obama will tell him to keep his nose out too..."
"leave","(0)Prediction\u0026gt;\u0026gt;\u0026gt;Next Cameron move:\u0026gt;\u0026gt;\u0026gt;Will he try to  bribe/threaten Boris J to playing controlled opposition to sabotage  Brexit?"
"stay","Budget cuts \u0026amp; Brexit stupidity is hurting jobs \u0026amp; economy.Chart that shows the UK economic recovery is 'on its knees' https://t.co/U0hBfHpkdo"
"leave","@andyrome64 As we should. @vote_leave @canadab1967"
"stay","looking 4wd to commentariat telling trump to keep his beak out of brexit debate as they did with obama https://t.co/wBwRwdKnqA"
"leave","Sensing the government is beginning to panic about #Brexit. First May speech, then u-turn on Calais, now U-turn on junior docs."
"leave","\""Let me get this straight...\"" #VoteLeave #ColumboforLeave https://t.co/TPaMDeQSPj"
"stay","Gives me the creeps https://t.co/q7JopQg1x5"
"stay","#Trump #Brexit What, you think he has UK's best interests at hear? Are you insane? Trump?"
"stay","Most of those who want to vote to leave are doing it for/but won't admit it...immigration - Good logic there pal, lol. #Brexit"
"leave","Why All Football Fans and Parents Should Vote for Leave #Brexit https://t.co/iqq7mFf3aJ"
"stay","@iainmartin1 @CapX How a conservative can recommend Brexit when this is going on in America I don't know."
"leave","The eurozone faces a time bomb of growing public debt https://t.co/c7vCIyG43f #BREXIT #VOTELEAVE #REMAIN #STRONGERIN #BRITAINOUT #EU #DEBT"
"leave","#BigBrother #1984 #Brexit George Orwell was a visionary https://t.co/1xZl2SQdnu"
"leave","@StrongerIn When our competitors want us in the EU the sensible person knows it's time to #LeaveEU"
"leave","You see. This is what we mean when we say the EU has gone too far. Absolute insanity! #Remain #Brexit #StrongerIn  https://t.co/wmkFdVDi2J"
"leave","When we Brexit and many of our European friends follow...it will - help free them all! https://t.co/C2EmGkaQEg"
"leave","@LeaveEUOfficial The big business lobby - the tobacco giants in this case - successfully lobbying to hamper the competition - typical EU"
"leave","@StrongerIn @FabianPicardo Oh look they are all multi millionaires with their own self interests and gold plated EU gravy train pension2come"
"stay","#leadersdebate machinations burnt 445 pets ruin the sea with economy #Bremain"
"leave","BBC News - EU referendum: Donald Trump backs Brexit https://t.co/Gv48r9tOVN"
"leave","And PM has just meekly allowed this to happen\n#VoteLeave for Britain's Safe Future https://t.co/bGrFkxju4v"
"stay","Japanese PM @AbeShinzo tells me \""question of Brexit is for British people, but \""Japan very clearly wants Britain to remain in the EU\"""
"stay","If the folks at #Brexit didnt like Obama being pro EU, I'm sure trumps  support for brezit wont delight them either! https://t.co/y6UrmyqxPD"
"leave","@EuroGuido @LeaveEUOfficial @virginmedia if virgin media give 500k to remain I'm #Virxit"
"stay","\""You don't need trade agreements to do trade\"". The level #Brexit campaign has fallen to beggars believe. Insult to voters."
"leave","Cannot see meme w/o rapping \""Oh from now on call me Columbo cuz I come through wrinkled up, think I give a fuck?\"" https://t.co/ac83roc4N0"
"leave","@DanHannanMEP @vote_leave There I was being told that the EU is good for trade, shows how misguided one can be, doesn't it."
"leave","You are bending over \u0026amp; taking it if you stay in EU after this EU ruling. Saying no NOW is making an influence https://t.co/frwQFDg0SA"
"stay","Is £250bn of #trade at risk from #Brexit? https://t.co/rmdkbYqlnh"
"leave","Wow, governing by secrecy and subterfuge. Realize this is US as well as EU. TTIP includes US. https://t.co/PU1Hzqk1gZ"
"stay","#Brexit - NO #saddiqKhan  https://t.co/kTILzDYX3k"
"leave","New blog post: Why I’m bowling for #brexit https://t.co/6qHtMVOpT5"
"leave","They have very little power. #bbcqt https://t.co/bElmkIJet4"
"stay","And the USA would be better off without Trump. No to #Brexit https://t.co/6gtJF4wkPM"
"leave","@LeaveEUOfficial the EU is unelected people who's interests in financial institutions big corporate's they do not care for ordinary people"
"stay","@PcExtremist @polnyypesets @vote_leave and all France has to do is say no. oh, and we also need France to not veto a trade deal."
"leave","Heart rules head as food and drink industry backs Brexit. Or so says The Grocer's misleading headline https://t.co/o2vyBBYJJi via @TheGrocer"
"leave","How does the EU help these brave people ? Does Eu trade affect them ? #brexit #euref #leave #VoteLeave #LeaveEU https://t.co/IyyMxVDCIn"
"leave","so, who´s all voting for brexit then??  if you vote to stay you need your head tested in my opinion.."
"leave","Brilliant \u0026amp; extraordinary insight into the rotten heart of #EU. RT \u0026amp; show to Remainer friends. #Brexit is urgent. https://t.co/WIWQvbuySY"
"stay","#Remain , bottle the Chief Exec Ryanair on #brexit and put in an Youtube shaped container"
"leave","fat smug bastard traitor https://t.co/Doawdt01r5"
"leave","It'll be the fault of #Brexit - vote #LeaveEU  https://t.co/RqSYLpFfxQ"
"leave","#bbcqt True. Reason I am negative about EU is nobody is making positive case 2 #remain. They're just trying 2 scare me. Well, I'm not scared"
"stay","That should be warning enough....#Brexit https://t.co/XKBgqqLyhS"
"leave","Brexit: The (animated) Movie https://t.co/U2ZvTIvLUX via @YouTube"
"leave","Emigration: Why British expats have nothing to fear from Brexit - via @Telegraph https://t.co/RrrTBpyD7F"
"leave","by leaving the EU we hope to rebuild a truly democratic Europe.  As it stands were IN a Dictatorship. #VoteLeave https://t.co/Jba1KcYDce"
"leave","@_Jet_Fuel_ @johnnyhopper999 @LeaveEUOfficial The UK has to pay £1.8BL  towards preparing the 5 new countries to enter the EU."
"leave","Whatever #Remain says. Their words are meaningless. Our resolve solid as steel. #Brexit #EUreferendum #VoteLeave https://t.co/uuZc91HLeR"
"leave","TIME TO GO': Trump gives Brexit blessing as he blames 'crazy migration' for EU collapse https://t.co/fjsRtp1IEf. Go Trump \u0026amp; Brexit!"
"stay","I live in Cyprus, my children are half Irish \u0026amp; my girlfriend is Romanian. I am a proud English European @StrongerIn #StrongerIn"
"leave","EU Plans $290,000 Per Person Fine on Countries Refusing \""Fair Share\"" of #economicmigrants fleeing poverty https://t.co/wtf1Kx2ctv @MishGEA"
"leave","@UK__News why is it when France says no, the deal (or whatever) is in trouble; if we say no, we're in trouble as bad Europeans #brexit"
"stay","For the Brexit Brigade delivering today. A) Lets get elections done B) I'm @LDINtogether @StrongerIn"
"leave","The EU had been using UK wealth for distributing to the corrupt UN https://t.co/gOHwsGCmLv"
"leave","@David_Cameron @StrongerIn bull*, I'd expect with your apparent level of education you would see the long term future is #StrongerOut 1/3"
"leave","That's stating  the obvious #LeaveEU , you should vote leave just to get , the best negotiators for going forward  https://t.co/Fk7YlBmXhF"
"stay","Lord Dubs expresses his desire for Britain to remain in the #EU in his speech to @fsuireland delegates #StrongerIn https://t.co/sR9R8Ex3WQ"
"leave","@StrongerIn EU hinders our intelligence agencies re: @COLRICHARDKEMP Vote out 🇬🇧"
"leave","and where do they vote? so, bit of a wasted effort isn't it?\n\nalso, Hillary Clinton isn't a leader.\n\nyou moron. https://t.co/5Z9xB64DEW"
"leave","Stop #privatisation of our #nhs #EU #referendum https://t.co/05gkVYoT2G"
"leave","@LordAshcroft @realDonaldTrump good job we'll be booting Cameron out of No.10 then, post #Brexit!!!"
"leave","@StrongerIn Ball cocks, you've just made that up, how measurable is that claim, it's not. Demonstrate it please, in facts \u0026amp; figures."
"leave","Police called in to investigate shock election fraud claims in Gloucestershire https://t.co/zA7XjCTaEF #brexit we all new Farage was robbed"
"stay","@rayne_ea The euro is a red herring in the Brexit debate. There has never been any possibility of UK joining €, except maybe under Lawson"
"leave","@bbcquestiontime the young lady summed up the #EU question. Why should the electorate listen to EU Council who are elected by MEPs? #Brexit"
"stay","@mgerrydoyle just count your blessings you're a non-Brit. This is why I dread #Brexit. Could be stuck with these cretins ..."
"stay","Waiting for backlash as #Leave campaign tells Trump to mind his own business: BBCNews Trump backs Brexit https://t.co/lmXPdyePRs #StrongerIn"
"leave","Wasn't #EU to unite, avoid war? Or no matter what Germany likes to stir trouble, leading to this, for ex? #brexit https://t.co/ilLUJfOKGF"
"leave","Emigration: Why British expats have nothing to fear from Brexit | via @Telegraph https://t.co/MxGA9cCQVe"
"leave","@LeaveEUOfficial @SputnikInt \u0026amp; they'll all make their way to the UK,if this crap government didnt give freebies to scum they wouldn't come😬🐷"
"leave","We British public will decide our future,scaremongering from BOTH sides will not sway our own vote.Not convinced In. https://t.co/hi58JQYhdc"
"leave","Spread the Word https://t.co/8w7TbwxmE8 #voteleave via @vote_leave"
"stay","We're to start? Trump's an international businessman with businesses in UK. He's not a president or elected politico https://t.co/F67RmkUYo6"
"leave","Staying alive is obv staying outside EU TPD w/wo #Brexit @FergusMason1 @Clive_Bates @CaeruleanSea"
"leave","Makes you question ...? https://t.co/JmlYE7ydSh"
"stay","@stevethesmiths @Dis_PPL_Protest brexit is bad news for everybody, disable or not!"
"leave","@StrongerIn Does this mean the unemployed have to wait until 2030 for jobs? ... what about the next 16 years?"
"stay","I'll be voting #Remain as a precautionary measure. Should UKIP continue to make gains in Wales, I want the opportunity to flee the country"
"stay","Never mind US/Japan telling us 'what to do' just look at the pricks supporting it. #Brexit"
"stay","#VoteConservatives authorities borrow 445 million through November , should 'get in the sea', economic migrants #Bremain"
"stay","Presidential hopeful Trump backs Brexit https://t.co/bag9KCJ317\n\nStrongest argument to remain in the EU!"
"stay","Brexit would make UK 'less attractive' for Japanese companies: Abe https://t.co/zUZNDfa88Z"
"stay","A risible case for #Brexit based on dubious data: https://t.co/PInHgHUabT #FT"
"stay","Probably the biggest reason to vote in so far: Donald Trump backs Brexit - BBC News https://t.co/ad4bmkBCbs"
"leave","@Englaland75 @DailyMailUK @iVoteLeave I've always wanted to deliberately 'lose' at Jenga with a stack of 28 European states. #Brexit #23Jun"
"stay","@CatarinaDemony @weareeuropeuk @IPFtweeting \n\nIt's #EU ref - #Brexit is one of two options\n\nVote #Remain on 23 June"
"leave","Uk referendum should be overseen by UN! Even then I don't know if I would trust them! https://t.co/v8X8KitZPK"
