,Product,Consumer complaint narrative
141182,Credit card,"I was charged a late fee for paying too early. In XXXX 2015, I made a credit card payment to Capital One. The payment arrived at Capital One on my statement closing date, so instead of applying it to the correct statement, they applied it to the previous statement and declared me past due when the payment due date arrived. I was charged a late fee and had my account suspended even though I paid EARLY!"
115610,Debt collection,"This Corrections claim is inaccurate. Why after 2 years of not being on my credit report this is suddenly appeared with XXXX, XX/XX/XXXX. I have had medical coverage since XX/XX/XXXX. 
Not Acceptable."
143912,Credit card,"Several times over the past year or two, ever since I have had a Citi XXXX credit card, I have been harassed by Citi about a possible 'fraud alert ' due to spending {$1.00} at a XXXX XXXX convenience store for a cup of coffee. Their continued text messages and voice mails - which cost me $ $ $ to receive - are annoying, and having my credit card turned down is embarrassing and completely unnecessary. 

I have asked them several times, through the message center of their web sites and via phone, not to contact me about a {$1.00} charge at XXXX XXXX. A customer service rep with whom I spoke said that she would put a note on my account not to contact me about such charges. Obviously, either she did n't put the note, or nobody bothers to read it. 

I have made numerous purchases of a much larger dollar amount at various stores and online, which they have not flagged as potential fraud. Yet at various XXXX XXXX stores, when I make a puny purchase, they decide it looks suspicious. Do they really think a scammer would steal my credit card just for {$1.00}?"
369466,Debt collection,I have been receiving threatening phone calls from Windham Professionals despite the fact that my XXXX account is paid and up to date.
681782,Debt collection,This is horrible! My credit is absolutely bad thanks to a identify theft
149234,Mortgage,"Due to XXXX, XXXX & loss of jobs we could not make our house payment. We had a loan with XXXX and a XXXX loan with XXXX XXXX ( {$25000.00} ). We talked to our realtor who said to do a shortsale. She listed in XX/XX/XXXX at {$85000.00} ( XXXX shortsales in the neighborhood ). We received {$120000.00} which the buyer agreed to. She waited a month then terminated because she found another house that was not in shortsale. The house went back on the market and we received an offer XX/XX/XXXX for {$120000.00}. On XXXX XXXX notified us that the servicing of our loan was being transferred to Bayview Loan Servicing LLC on XX/XX/XXXX. But then moved it back further to XXXX. So we could not do anything during that time. Since we have been working with Bayview we had XXXX different negotiators in 5 months. We have had a qualified buyer since XXXX who still wants the house. Bayview has had an investor who still to this day has not said yes or no to the loan ( XX/XX/XXXX ). This company has called and harassed us and more important has called and harassed our parents who have nothing to do with our loan. If they needed paperwork XXXX has everything they need. She has been working on this offer for 8 months along with our Realtor. XXXX had been calling our Realtor each week to make sure the house was in pending and still going through. On XXXX our Realtor went to check on the house and found a flyer on the window from XXXX saying they were going to board the house up and change the locks. Our Realtors sign was out front in plain sight and had a sign saying "" contract pending '' along with a lockbox for agents to get in. She went to XXXX and tried to find out what was going on. She did have a loan officer call someone to notify them the house was in pending. Bottom line is we have had a qualified buyer for over 5 months and the offer is being sat on! They could have their money and we could sell the house."
458096,Student loan,"I am having a difficult time paying my student loans, through Navient, so I put in for a income driven payment plan, and the result was I had to pay {$0.00} last year for my loans, but the interest would still accumulate but I could make interest payments if I wanted to. I am doing this off of the top of my head, so XX/XX/XXXX when that year ended, I had to send in my income tax papers, and I will say here, I made {$24000.00} XX/XX/XXXX, so they based my payments from that. So they expect me to make payments of {$69.00} a month, let me tell you this, I am a XXXX year old widow, who has electric heat as a heat source, works part time at {$13.00} an hour as a XXXX, I drive a vehicle that is 17 years old and I also had to pay {$56.00} a month for that stupid Obama care insurance that I did not use. 
First I get a notice that I have a payment due of {$240.00} on XX/XX/XXXX, got paperwork in for the income driven then they modified the payment, and also changed the date of XX/XX/XXXX. 
Is there any way your agency can help me? 
Thanks XXXX"
318121,Bank account or service,"Accepted Citibank promotion. Deposited {$15000.00} and was to receive {$400.00} bonus on XXXX XXXX, 2016. After several calls, no action, and the bonus amount is still missing from my account. 
Same issue as Complaint ID XXXX This is unconscionable and outrageous."
289716,Credit reporting,Contacted Collection Agency Was Told To File Complaint With Credit Reporting Agency. Filed Complaint.Was told It was Mine No documentation Contacted XXXX XXXX Wanted Me to furnish State ID and SS Card This is fraud Did Not feel comfortable Sending Personal Information to them.
746105,Debt collection,This account reported on my credit report and I have no idea even it 's my account due to lack of communication I have not received and correspondence by mail or phone.
15312,Student loan,"This is the second time this has happened. I successfully reapplied for my Income Based Repayment through XXXX, and thought that I was all set to stay on my Income Based Repayment plan. For a reason unbeknownst to me, I have been removed from that plan and told to reapply, and so my accrued interest has been immediately capitalized, and I have been moved to a flat payment where the payment amount is so high and causes a financial hardship. The first time this happened, in XXXX, the customer service representative put me into forbearance and told me that they never received my income documentation that I had sent. It then took Navient 3 months to get me back on the plan ( original complaint filed XXXX XXXX, finally placed on plan in XXXX XXXX ). This time, I have not been able to speak to customer service, and do not want to go into forbearance, so I will have to make this payment while trying to get back on the plan. But I will have had the interest capitalized, which ads to the hardship."
270184,Debt collection,"This company calls me 20 times a day from different numbers throughout the ALL US States, NOT just CA. I was hospitalized and they were told not to call, yet continued to call daily. They record ALL conversations without notifying the caller, and in CA that is not legal. They call before XXXX, and after XXXX. This is all harassment and they do not care."
672067,Credit reporting,The reason I am complaining to day is because I went to XXXX XXXX union to close on a loan and when they went to establish membership for me and got a copy of my chexsystems file they denied me based on information that they received from Chexsystems. XXXX is saying that there is an account with XXXX XXXX reporting a {$52.00} charge off. I have never conducted business with this company and I called them to verify with my social if they have me in there system? and they had no record of any account with my social. I contacted the chex systems phone number and gave the representative my information and he was able to pull up my file but found no record of any account reporting a charge off in my name. The bank is requesting a letter from chex systems stating that their are no negative charge offs showing on my report. Chex systems is telling me they will be mailing me my file but this is not going to help me as I am on a time limit in approval for this loan that I have been approved. My father and my brother carry the same name and I am afraid that my information might be getting mixed when financial institutions pull my file. This needs to be addressed with chexsystems.
362737,Debt collection,the debt collector called my fellow employees at my workplace and shared personal information about me.they told other other employees about a {$12000.00} debt that was supposedly owed from 2001.they were harassing me as well after i told them to stop calling me.
176827,Debt collection,"I set up payment plan and yet they keep calling everyday. They had told me the calls would stop as long as I make reoccurring payments. So I called them back to find out why the are still calling me and turns out my payments is going to them and not the company I owe. I had to talk to XXXX different representatives and XXXX had told me XXXX so I asked to speak with the manager who proceeded to call me uneducated because they lied and did not explain very well to me where my payments are gong to. They were all very rude and unprofessional. The first guy I spoke with demanded my card information. The "" manager '' literally had me crying with how rude he was. And all XXXX of them would talk over me and then yell at me if I tried talk. I had to call my bank and tell them to unauthorized the transactions since they would not do it. Ummm is that even legal?!?!?!. I do not trust them whatsoever. And to make matter worst when I called XXXX they told me they should not be taking that much money for themselves. Horrible company, how are they even in business?!"
538813,Credit reporting,I am disputing all hard inquires on my credit report because this is fraud and does not belong to me.
631272,Credit reporting,"I 've sent Experian copies of letters and proof of payment of an account I am disputing but Experian still will not remove the negative account with XXXX XXXX XXXX XXXX this has cause me to fall out of escrow, potentially lose a home."
754500,Bank account or service,Someone opened up a XXXX and XXXX account using my bank account. I was not aware of this. When I started my bank account I specified that I did n't want overdraft! I said if I do not have the money then do not pay it and do not charge me a fee. I was told OK. Anyways someone used my bank account on a XXXX and XXXX account I did n't know about. XXXX charged my account XXXX for {$1.00}. I was then charged a overdraft fee twice from the bank. Because of this THEN I found out about it and try and talk to BB & T and I kept getting the run around! Then they tell me there is nothing they can do and they closed my account AND charged me {$30.00} for THEM closing it and now sending me threating letters say I owe {$110.00} or they will send my account I to XXXX so no one else will give me a bank account. I really feel frustrated and bullied here by them!
245911,Credit reporting,"Experian provided me a report # XXXX that Said XXXX XXXX told them that the item on my credit report meets the requirement of the Fair Credit Act XXXX XXXX has a permanent FTC & CFPB order against it See page XXXX paragraph XXXX also green tree did not accept a certified letter return receipt requested nor write back I sent Experian a copy of the consent order, certified return receipt requested and they signed for it on XXXX XXXX all files are attached if the FTC CFPB consent order attached means any thing Sanction Experian for thumbing their noses at you."
68757,Mortgage,"I based my decision to put up my deposit on the contract based on the good faith estimate given to me by Capital One bank. Upon receiving the HUD1 the estimates changed dramatically whereas now I ca n't meet the closing cost. Now that I canceled the closing they are sending me bills for attorney fees, title search appraisals etc. What are my options?"
365606,Credit reporting,"Equifax is reporting a recent address change XXXX XXXX XXXX, XXXX, GA. I never lived in Georgia and now I 'm worried that someone may be using my personal information."
530999,Student loan,"I am late on paying on a {$25.00} payment to sallie mae. They call 8 times a day i asked them to stop calling an to send a paper statement. I have told them that i feel the calling 8 time a day is harassment, the say "" the law lets us call that many times ''. I have stated that FTC Public Law 111-203, title X, 124 Stat. 2092 ( 2010 ) sub section 806, ( 5 ) "" Causing a telephone to ring or engaging any person in telephone conversation repeatedly or continuously with intent to annoy, abuse, or harass any person at the called number. '' They refused to fallow the law in regard to collations of a debt. They need to be brought to justice. and fined or jailed"
365058,Mortgage,"My mortgage company Nationstar is threatening foreclosure on my house due to what they believe my account is a payment behind. I went through a modification which trial payments begun XXXX XXXX 2015, I made my payments on the or around the XXXX of each month towards my payment due on the XXXX. XXXX of 2015 Nationstar started sending me notice and calling saying my account was past due. I have been trying since XXXX 2015 to resolve this issue but Nationstar is neglecting to try and resolve the issue. I call, I send letters, I email but still cant seem to get someone to look into this issue and resolve it. I believe they are trying to wrongfully foreclose on my house. I have spoke to XXXX attorneys and they have advised me to check out respa and to try and work out with Nationstar first, that it could simply be an error in paperwork some where along the way. So I am just at my wits end as to what more I can do to get this resolved as Nationstar is making communication with them difficult."
159625,Debt collection,They ( the original creditors ) refused to provide the original resciepts for me to keep for my records and to make sure they are n't over charging me.
214959,Debt collection,"The is at the least the XXXX complaint that I 'm filing against Smith Debnam Narron Drake Saintsing & Myers, LLP and XXXX within the last several months. I have been harassed and threaten for almost a year now with emails, phone calls, letters, and now a legal Judgement. XXXX XXXX XXXX has been consolidating and resolving XXXX debts for me starting in XXXX of 2014. Over 60 % of the debts have been resolved and I 'm waiting on the remainder to be resolved. But all XXXX has done is harass and threaten me since XXXX XXXX XXXX has been consolidating and resolving my debts. My rights have been violated and I want Smith Debnam, Narron, Drake, Saintsing, & Myers, LLP, and XXXX investigated by your agency and the FBI. They seem to be doing the same thing that your agency caught XXXX doing..? There is something illegal going on with XXXX 's practices and I would like for the Federal government to investigate all the parties previously mentioned. I 'm writing to the President of the United States, the U.S. Congress, the FBI, the Federal Trade Commission, the Governor of North Carolina, and the Governor of Ohio about XXXX and their practices ... I have already started writing. I 'm sending the copies of the Judgement to the White House and others mentioned ... and to as many media outlets as possible to tell the public what XXXX has done to me and possibly many others."
300785,Credit card,"My husband and are Citigold customers - preferred customers based upon aggregated balances with Citibank ( in excess of $ XXXX XXXX. We 've been told numerous times by branch employees as well as Citigold account representatives that with being a privileged customer comes special benefits. One of those benefits is no foreign transaction fees. We were told this on numerous occasions and it applied to all of our Citi products. 

Recently my husband and I were traveling overseas and used our Citi credit card and learned that a transaction fee was charged. Immediately upon our return to the states we contacted Citi bank to alert them to the information we received and we were told that 's not accurate for all products. This seems unfair and deceptive. I kindly asked Citi to make a one time concession for us and they have refused. 

Given the misinformation we received on numerous occasions, I believe Citi is not being clear and transparent with their customers. If this benefit only applied to certain products, then we would have used those products - we have multiple cards with Citi where it does apply. 

I 'd like Citi to refund our foreign transaction fees and be clear with customers on what it means to be Citigold and what it does not mean. And I 'd like them to educate all of their departments on the differences. Instead of just passing the buck of blame to someone else internally."
135269,Debt collection,"I had a medical bill that was owed from XXXX 2009 for {$540.00} to XXXX HospitalXXXX @ XXXX XXXX XXXX, XXXX XXXX TX XXXX ph # XXXX acct # XXXX. The collection agency Commonwealth Financial systems Inc ph # XXXX sent me collection letter on this. I pulled my credit to see that they had the same amt XXXX on my report. I called XXXX Hospital/ XXXX XXXX Services and the bill was due which i moved and did not get the bill. I settled the acct on XXXX for {$160.00} and paid it and told the rep that the XXXX acct they had was a dup acct and they were supposed to contact client on matter which has not been done. I called the client to find that they do not know who Commonwealth Financial systems Inc is. The client said they work with XXXX XXXX XXXX ( collection agency XXXX XXXX XXXX XXXX XXXX XXXX XXXX, TX XXXX ph : XXXX and they also have the account and balance and they do not know who Commonwealth Financial systems Inc is. I called Commonwealth Financial systems Inc and spoke to the collection manager XXXX XXXX XXXX on XXXX and told her all of this and she stated that they will not call the client and that I needed to resolve this even if they have the wrong details and will not contact the client to resolve. Therefore I consider this FRAUD and they have been paid nd I have a letter from them showing it was settled for {$160.00}. I need your help in resolving this matter due to they are reporting on my credit."
209017,Debt collection,"I was contacted by ARS about a medical debt that I told them that the veterans admin. was to pay. Second, they put the debt on my credit buerueu without even contacting me by letter or mail. After I called them they were very rude and hung up on me several times after I asked them why this was on my credit .buerua. I was not able to talk to a supervisor and it 's just so frustating to get the run around. I want this off my credit and I am not getting ny answers.."
657031,Credit reporting,"XXXX is currently reporting a balance of XXXX on my credit reports. I received XXXX different notice of collection from XXXX different agencies. XXXX sold the account so they need to report a {$0.00} and also tell me who the debt ACTUALLY belongs too. I have attached documentation from each CA and my report still has the balance. They are reporting inaccurate information.. False or misleading representation of debt amount is illegal as well as unfair. If this is not resolved then I risk having XXXX different companies reporting the SAME debt ... the XXXX companies are : XXXX, XXXX XXXX and XXXX XXXX ... These practices are not fair."
357880,Credit reporting,"Inquiry made on my report by XXXX XXXX XXXX XXXX XXXX Fl. 
This record was previously deleted. It was not authorized. No wet signature authorizing this inquiry was provided."
224047,Debt collection,"Recieved call stating BOA had aquired a loan from prior to 2010. Being very ill, I gave my wife permission to speak with them. She was extremely RUDE and kept telling my wife not to interupt her. She would NOT tell her anything except Bankj of America had just aquired the loan & they want thier money. When my wife tried to get any info as to what the loan was about, she said we could settle the debt right now but would not say anything more than it was an old loan that BOA had just aquired and no other info from whom the loan was aquired. She finally said we would be sued and taken to court and abruptly HUNG UP on my wife. I called here back and tried to get the info from her. She was so rude and ignorant, I could not believe this woman. She said "" NOW YOU WANT TO TALK TO ME '' "" if you want to know anything, ASK YOUR WIFE. I wanted to know how I can settle a debt when she would not tell me who the debtor was. I have to admit I became HIGHLY AGITATED and did use some abusive language and hung up on her when I could get NO INFO and all she was doing was yelling at me. My wife called back and tried to talk to someone else and they once again immediately hung up the phone without speaking, as soon as they determined who was calling. 

To summarize this whole situation. The person who called was XXXX and she was mean and very rude. She told my wife this debt has to be settled today but would not reveal from whom BOA aquired the loan. After giving us NO INFO she said to ge3t a lawyer because they are going take us to court and sue us. I 'm not sure if the company name and representive is correct. They did not identify themselves except to say there is a claim against me. The phone numbers were left on the answering machine and taken from my caller ID."
493877,Debt collection,Collector keeps calling me on a fraud account that is not mine
467521,Mortgage,"Our mortgage servicing company OCWEN every 6 months sends us a notice that our Condominium Association Master Insurance Policy on our rental property has expired. It then requires us to contact the Homeowners association and master insurance company to provide all the master policy information, endorsements, etc., etc. What on earth is the mortgage servicing company getting paid for if not for basic services like establishing contact the Homeowners Association to verify their Master insurance coverage? We are hounded every 6 months with this repeated huge paperwork exercise. OCWEN is getting paid to do this or do I misunderstand their obligations and what they are being paid for? We understand perfectly our requirement to verify we have homeowners insurance on the condo itself. 
This is just one of the regular hassles that OCWEN puts us through because they do not follow up on the information we provide or require repeated re-sendings of information and paperwork because they lose track of our material. OCWEN is without a doubt the worst organization we have ever dealt with concerning mortgages and insurance. Constant difficulties."
763837,Bank account or service,"Wells Fargo Bank charged XXXX insufficient fee on a checking account when money was in the account to cover the XXXX transaction. At the end of the day customers account was in the positive and was thrown into the negative with a transaction that posted the night at close. They also received a deposit on the XX/XX/2015, allowed customer access to it the money which kept account positive. Then stated that there was not money in the account."
691098,Credit card,"I applied online for a credit limit increase on my Citicards credit card on XXXX/XXXX/15. 
Before I clicked the submit button, my screen said you must click the box to acknowledge that a credit report would be pulled. I agreed to this. 
On XXXX/XXXX/15, I got an email that my credit limit increase request was declined. I put a posting on XXXX for a reconsideration of my credit limit increase request. An hour or so later on XXXX/XXXX/15 a member of the social media team called me regarding my denial. The gentlemen from the social media department said that in order for him to escalate my denial to another level, my credit report would have to be pulled AGAIN. I said, let me make sure I am hearing this correctly, the computer pulled my credit report not 24 hours ago, you confirmed this, yet you have to pull another credit report, he said yes. This act of having to pull ( XXXX ) reports in ( 24 ) hours is damaging to consumers credit and is not necessary or in the best interest of the consumer banking in the USA."
150098,Consumer Loan,"we have bill that was submitted to a collection attorney. we made arrangements to pay {$100.00} per month on the bill in the amount of {$1000.00}, with an interest rate of 10 % per annum. we have paid {$900.00} so far, however no money has been applied to the interest, and I was told by XXXX, that my original bill was {$2100.00}, instead of the XXXX. Then we have the court fees of {$220.00}, plus attorney fees of $ {$600.00}. The filing client is XXXX. the money paid has not been credited o interest or principal, it seems."
344110,Mortgage,"My mortgage loan was modified in XXXX XXXX. However, my servicer Roundpoint, has not reflected my loan as modified since then. I have been fighting with them now for two years and I finally hired an attorney earlier this year to help me. As you can see from the attached my loan was modified in XXXX XXXX directly by the owner of my loan. As you can also see from attached my mortgage statement for this same loan shows me due for XXXX/XXXX/XXXX back in XXXX and now XXXX/XXXX/XXXX. I have no idea how they are coming up with these dates as my loan was modified and should have been brought current as of the date of my modification on XXXX/XXXX/XXXX. My attorney was advised by Roundpoint that they requested me to submit another full application so they could attempt to fix this issue. My attorney submitted my full and complete application on XXXX/XXXX/XXXX and to date Roundpoint has not yet issued a decision. They keep asking for more paperwork every month and then let it expire and then ask for it again. I am told by my attorney that RESPA Reg X requires the lender to make a decision within 30 days of the application REGARDLESS if it is not completely complete. My attorney has an in house underwriter that put the file together and they state the lender ( Roundpoint ) has enough information to make the decision. I am not eve sure what decision they need to make as they have ROYALLY messed up my mortgage and it is on them to fix it. # 1 ) I was modified and my servicer never reflected it in my statement # 2 ) This is not my fault and the fact that my account is now past due and really messed up is either the servicer 's fault or my investor 's fault. It DEFINITELY is not my fault. # 3 ) My servicer needs to STOP EVADING reviewing my file as my attorney is billing me for work each time Roundpoint stalls and does n't make a decision as required by RESPA Reg X. I am being financially harmed by this illegal action. In another week it will have been 5 months since I applied for assistance in fixing my servicer 's mistake!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! Please make them stop running me in circles and make them FIX THEIR MESS!"
333780,Credit reporting,"I would like to have the judgment for {$930.00} ( XX/XX/XXXX ), judgment for {$39000.00} ( XX/XX/XXXX ), and the judgment for {$2400.00} ( XX/XX/XXXX ) removed from my credit report as I was able to have done with XXXX."
35849,Debt collection,"On Wednesday XX/XX/XXXX I called XXXX XXXX XXXX to follow up on a settlement offer I submitted via their online portal. I had not received any return communication from the settlement offer I submitted and it had been about two weeks. I reached the after hours message line. I left a voicemail with my first and last name, why I was calling, and my return contact number. On Thursday XX/XX/XXXX, I missed a phone call from a representative with XXXX XXXX XXXX named XXXX. The voicemail that she left cut in and out so I was not able to retrieve the phone number or the extension number she provided for me to return her call. I returned the call by contacting the number on the that XXXX had called my cell phone on which was XXXX. I told the representative that came on the phone line who I was, and that I was returning a phone call that I missed from XXXX. She took my information, and then put me on a brief hold. When she returned back on the line she informed me that XXXX was not available but that she would try to help me. She claimed to have pulled my file up and reviewed the notes. She stated to me that the settlement offer and payment plan I had submitted was not acceptable and would not be accepted from XXXX XXXX XXXX. She stated that it was not acceptable because I was asking for a settlement offer that was only 50 % of the total amount of the debt and that XXXX XXXX XXXX does not accept settlement offers that low, as well that my offer of {$42.00} a month was not acceptable. She continued to say that she needed to go over some information with me to determine what the lowest payment plan they would accept was, and that I needed to complete a financial form but that she would go over it with on the phone. She asked me questions in regards to how much income I got each month, how much my rent was, how much I pay monthly lumped together for utilities, auto insurance payments, car payments, how much was left on my auto loan, and lumped together for what I am paying in other debt repayment plans I am currently in. I was not prepared for these questions and I disclosed that to her and when I was trying to take my time figuring out accurate numbers for her she got upset and rushed me. She then asked me about my fiance 's income, which I feel should not be considered or even taken into account because we are not married. She placed me on a hold again to process the information I had provided her and came back on the line. She told me when she came back on the line that the lowest amount based on the information I had provided her that the lowest payment amount that XXXX XXXX XXXX would accept on the file was $ XXXX/month. I tried to explain to her that there was no feasible way that I could afford $ XXXX/month and that I had attempted to set up a payment plan with Midland Management Credit the original debt holder via their online site to enter into a payment plan of 120 months which equaled out to {$33.00} a month but it must not have gone through when I submitted it online as the account had been transferred to XXXX XXXX XXXX. She would not let me even get that full sentence out before she very rudely interrupted and started to talk over me clearly stating "" We are not Midland Credit , XXXX XXXX XXXX is a law firm, we do not have to offer you the same options they may have. '' I again tried to explain to her that I could not afford {$290.00} a month, that I am barely making it paycheck to paycheck as it is. She again proceeded to cut me off and talk over me saying "" You can afford the {$290.00} a month based on the information you provided me, no payment has been made on this account since XX/XX/XXXX ''. She stated that if I did not pay the {$290.00} they would garnish my wages and take over {$500.00} of my check each paycheck until the debt was paid. That were also be added legal fees for taking it to court."
101290,Debt collection,Couch ConVille Blitt is trying to collect and sue me for and old debt for their client XXXX XXXX XXXX XXXX XXXX. I believe this debt is past the statute of limitations and is uncollectible.
701172,Mortgage,"We have a home loan with Wells Fargo Home Mortgage. We are attempting to refinance our home with another company and when they ran our credit report, they found that Wells Fargo has not submitted our payment information for the last four years. When they call Wells Fargo, they admit there have been no missed or late payments but they refuse to submit the information to any bureau. This neglect has lowered our credit scores and prohibited us from getting a conventional loan. This is going to cost us thousands of dollars over the coming years."
703338,Mortgage,"Since our previous complaint, we have received no further correspondence from the lender in reference to the issues that are preventing us from obtaining a reasonable offer. The lender insists that they must net {$230000.00} ; however. that amount is determined by a questionable appraisal. Questionable because of the condition of the property. It is in need of {$15000.00} to {$20000.00} worth of repairs. We believe that this appraisal is prejudiced and have asked for a second opinion. None has been provided. The appraisal was at {$270000.00} and was significantly higher than the previous one of {$260000.00}. Again, neither appraisal has accounted for the repairs needed to bring the property to comparative market value. Furthermore, we have ask for a closing costs explanation as to how the net of {$230000.00} was determined. None has been provided. Prospective Buyers have expressed their reluctance to submit an offer since the valuation has been set too high."
206286,Mortgage,"I have had my loan for almost 3 years now and never got a 30 day late credit reporting. In fact, prior to my loan being transferred from XXXX XXXX XXXX, I never made a late payment. Since Pennymac acquired my loan, I have not had my payments applied properly and on time. On XXXX XXXX, 2015, I made a payment for my loan account. I mailed a second payment days later. I received information today that my loan was 48 days past due which has never happened prior to Pennymac acquiring my account. Please note I did not receive any statements regarding my loan account until today. Today, I called to make a payment over the telephone. The representative indicated that my loan was late and past due 48 days and 30 day late was applied to my credit report. My credit is very good and I have never made a late mortgage, car, and or credit card payment. Most important, when my loan was service transferred I was informed by a PennyMac representative that negative reporting does not occur until a loan is 60 days past due. Which was not true and deceiving and violated RESPA, Reg X, ECOA, and UDAAP. I requested of the representatives to have the calls pulled regarding my account, and I disputed the negative credit reporting. The CFPB needs to investigate this company as their practices are violating RESPA, Reg X, ECOA, and UDAAP. Pennymac did not apply the payment I mailed in and their representatives gave me false information regarding my loan account. I am appauled that this company can get away with this. PLEASE HELP, MY CREDIT IS BEING RUINED. I am requesting that the 30 day late be removed from my credit report as I mailed that payment and was initially given inaccurate information from a PENNY MAC representative"
